excel_row,route_name,normalized_address
21,"Мичуринск, Тамбовская обл.","398513, Липецкая область, Липецкий район, село Частая Дубрава, Молодежная улица, 5"
23,"Мичуринск, Тамбовская обл.","398540, Липецкая область, Липецкий район, село Сенцово, Гагарина улица, 1А"
24,"Мичуринск, Тамбовская обл.","398902, Липецкая область, город Липецк, Ангарская улица, 24"
25,"Мичуринск, Тамбовская обл.","399140, Липецкая область, Добровский район, село Доброе, Желябова улица, 1"
26,"Мичуринск, Тамбовская обл.","393760, Тамбовская область, город Мичуринск, Гоголевская улица, 148"
27,"Мичуринск, Тамбовская обл.","393763, Тамбовская область, город Мичуринск, Автозаводская улица, 2а"
29,"Мичуринск, Тамбовская обл.","393002, Тамбовская область, Никифоровский район, рабочий поселок Дмитриевка, улица М.Горького, 69А"
30,"Мичуринск, Тамбовская обл.","393088, Тамбовская область, Петровский район, деревня Чибизовка, Центральная улица, 1"
31,"Мичуринск, Тамбовская обл.","399331, Липецкая область, Усманский район, село Октябрьское, проспект Революции, 81А"
32,"Мичуринск, Тамбовская обл.","399370, Липецкая область, Усманский район, город Усмань, Советская улица, 15"
33,"Мичуринск, Тамбовская обл.","399370, Липецкая область, Усманский район, город Усмань, улица К.Маркса, 21"
